Position,Name,Post,Pic-no
Chief Patron,Hon'ble Vice-Chancellor,Aliah University,1.jpg
Patron,Registrar,Aliah University,2.jpg
Co-Patron,Dean,Faculty of Science and Engineering,3.jpg
Organising Secretary,Dr. Rumpa Saha,Dept. of Electrical Engineering,4.jpg
Jt. Organising Secretary,Prof. Shamim Haidar,Dept. of Mechanical Engineering,5.jpg
Convener,Mr. Pallav Dutta,Dept. of Electrical Engineering,6.jpg
Co-Convener,Prof. Mukandar Sekh,Dept. of Mechanical Engineering,7.jpg
Executive Member,Prof. Sk. Monowar Hossein,Dept. of Math & Statistics,8.jpg
Executive Member,Prof. Md. Mehedi Kalam,Department of Physics,9.jpg
Executive Member,Prof. Sk. Md. Obaidullah,Dept of CSE,10.jpg
Executive Member,Prof. Quazi Mohammad Alfred,Dept. of ECE,11.jpg
Executive Member,Dr. Samiran Sur,Dept. of Mgmt. Sc. & Business Admn.,12.jpg
Executive Member,Dr. Mohd Sayeed Ul Hasan,Dept. of Civil Engineering,13.jpg
Executive Member,Dr. Rafiqul Haque,Dept. of Mechanical Engineering,14.jpg
Executive Member,Dr. Mehboob Hoque,Dept. Biological Sciences,15.jpg
Executive Member,Dr. Mustafa Jahir Raihan,Dept. of Chemistry,16.jpg
Executive Member,Dr. Moumita Chatterjee,Dept. of CSE,17.jpg
Executive Member,Dr. Chowdhury Aminul Islam,Dept. of Physics,18.jpg
Executive Member,Dr. Md. Jakir Hossain Molla,Training & Placement Officer,19.jpg
Executive Member,Mr. Asif Iqbal,Tech. Asst. (Gr-I), Dept. of CSE,20.jpg
Executive Member,Mr. Sk. Hasibur Rahman,Accountant,21.jpg
